title,price,rent_fee,location,rooms,advertiser_type,heating,floor,finishing_state,available_from,additional_info,building_year,elevator,building_type,building_material,windows,safety,equipment,security,media,url,scrape_date
NOWE KLIMATYZOWANE MIESZKANIE Skwer Harmonia - Rybitwy BEZ POŚREDNIKÓW,2 999 zł,399,"ul. Półłanki, Rybitwy, Podgórze, Kraków, małopolskie",2,prywatny,kotłownia,parter/4,do zamieszkania,2025-05-14,"ogródek, taras, tylko dla niepalących",2025,nie,blok,pustak,plastikowe,teren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja","rolety antywłamaniowe, drzwi / okna antywłamaniowe, domofon / wideofon",internettelewizja kablowa,https://www.otodom.pl/pl/oferta/nowe-klimatyzowane-mieszkanie-skwer-harmonia-rybitwy-bez-posrednikow-ID4vn2C,2025-05-13 20:32:09
NOWY Luksusowy apartament z widokiem na centrum Warszawy 3 pokoje.,9 800 zł,800,"Ulrychów, Wola, Warszawa, mazowieckie",3,prywatny,miejskie,6/7,do zamieszkania,brak informacji,"balkon, taras, garaż/miejsce parkingowe",2024,tak,blok,beton,drewniane,teren zamkniętymonitoring / ochrona,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka, klimatyzacja",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/nowy-luksusowy-apartament-z-widokiem-na-centrum-warszawy-3-pokoje-ID4v2nB,2025-05-13 20:32:12
Studio | Od zaraz | Nowy budynek | Pets Friendly,2 690 zł,450,"al. Aleja Wilanowska, Ksawerów, Mokotów, Warszawa, mazowieckie",1,prywatny,miejskie,2,do zamieszkania,brak informacji,balkon,brak informacji,tak,blok,żelbet,plastikowe,monitoring / ochrona,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik",brak informacji,internet,https://www.otodom.pl/pl/oferta/studio-od-zaraz-nowy-budynek-pets-friendly-ID4vmL2,2025-05-13 20:32:14
1300 + opłaty Bez Mebli Dino Las Balkon Parter,1 300 zł,495,"Pełczyn, Wołów, wołowski, dolnośląskie",2,biuro nieruchomości,miejskie,parter/2,do zamieszkania,brak informacji,"piwnica, oddzielna kuchnia",brak informacji,nie,blok,brak informacji,plastikowe,brak informacji,brak informacji,brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/1300-oplaty-bez-mebli-dino-las-balkon-parter-ID4vn4C,2025-05-13 20:32:17
Mieszkanie Wronki 2 pokoje od 1 czerwca!,1 700 zł,450,"Wronki, Wronki, szamotulski, wielkopolskie",2,biuro nieruchomości,brak informacji,2/3,brak informacji,brak informacji,pom. użytkowe,brak informacji,nie,blok,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/mieszkanie-wronki-2-pokoje-od-1-czerwca-ID4vn4B,2025-05-13 20:32:19
